MET   c.2     -2.34605414  5 11  1  72
MET   o.3     -2.68095294  5 11  6  73
MET   o.2     -2.12720892  5 11  7  74
MET   o.co2   -2.96746973  5 11  8  75
MET   p.3     -3.79598654  5 11  9  76
C.3   c.3      0.16133766  6  0  0   1
C.3   c.2      0.07080599  6  0  1   2
C.3   c.ar    -0.05626566  6  0  2   3
C.3   o.3      0.17887042  6  0  6   4
C.3   o.2      0.05477232  6  0  7   5
C.3   o.co2    0.20415176  6  0  8   6
C.3   n.ar    -0.04683011  6  0 10   7
C.3   f       -0.13183208  6  0 11   8
C.2   c.3      0.08394383  6  1  0   9
C.2   c.ar     0.11326279  6  1  2  10
C.2   n.4      0.12751900  6  1  3  11
C.2   o.3      0.09633777  6  1  6  12
C.2   o.2     -0.01853210  6  1  7  13
C.2   o.co2    0.02742426  6  1  8  14
C.2   n.ar    -0.00926592  6  1 10  15
C.AR  c.3     -0.54498215  6  2  0  16
C.AR  c.2     -0.55049265  6  2  1  17
C.AR  c.ar    -0.47435593  6  2  2  18
C.AR  o.3     -0.34910511  6  2  6  19
C.AR  o.2     -0.43574901  6  2  7  20
C.AR  o.co2    0.03480850  6  2  8  21
C.AR  n.ar    -0.51998889  6  2 10  22
C.AR  f       -0.54556159  6  2 11  23
C.CAT o.co2   -0.85021280  6  3  8  24
N.4   o.3     -0.58241497  6  4  6  25
N.4   o.co2   -1.04303701  6  4  8  26
N.AM  c.3      0.49851670  6  5  0  27
N.AM  c.2      0.38936901  6  5  1  28
N.AM  c.ar     0.33999374  6  5  2  29
N.AM  o.3      0.28806751  6  5  6  30
N.AM  o.2      0.34915084  6  5  7  31
N.AM  o.co2    0.24159137  6  5  8  32
N.AM  n.ar     0.14726756  6  5 10  33
N.PL3 c.3     -0.25200397  6  6  0  34
N.PL3 c.2     -0.46927365  6  6  1  35
N.PL3 c.ar    -0.11274313  6  6  2  36
N.PL3 o.3     -0.31646566  6  6  6  37
N.PL3 o.2     -0.29666314  6  6  7  38
N.PL3 o.co2   -0.62101377  6  6  8  39
N.2   o.3     -0.89350178  6  7  6  40
N.2   o.2     -0.90021291  6  7  7  41
N.2   o.co2   -0.99220068  6  7  8  42
O.3   c.3     -0.36388854  6  8  0  43
O.3   c.2     -0.26953940  6  8  1  44
O.3   c.ar    -0.20127680  6  8  2  45
O.3   n.4     -0.31397005  6  8  3  46
O.3   n.pl3   -0.31130318  6  8  5  47
O.3   o.3     -0.34391789  6  8  6  48
O.3   o.2     -0.13027792  6  8  7  49
O.3   o.co2   -0.47000048  6  8  8  50
O.3   n.ar    -0.33338894  6  8 10  51
O.2   c.3      0.36505699  6  9  0  52
O.2   c.2      0.36157016  6  9  1  53
O.2   c.ar     0.26560456  6  9  2  54
O.2   n.4      0.31052987  6  9  3  55
O.2   n.am     0.63514774  6  9  4  56
O.2   n.pl3    0.44047778  6  9  5  57
O.2   o.3      0.29525802  6  9  6  58
O.2   o.2      0.21188320  6  9  7  59
O.2   o.co2    0.40038281  6  9  8  60
O.2   n.ar     0.19186955  6  9 10  61
O.CO2 c.3     -0.42251391  6 10  0  62
O.CO2 c.2     -0.31251872  6 10  1  63
O.CO2 c.ar    -0.05700255  6 10  2  64
O.CO2 n.4     -0.51091225  6 10  3  65
O.CO2 n.am    -0.31300948  6 10  4  66
O.CO2 n.pl3   -0.27594136  6 10  5  67
O.CO2 o.3     -0.39625139  6 10  6  68
O.CO2 o.2     -0.17216087  6 10  7  69
O.CO2 o.co2   -0.46131794  6 10  8  70
O.CO2 n.ar    -0.40862957  6 10 10  71
MET   c.2     -2.69769786  6 11  1  72
MET   o.3     -2.75867624  6 11  6  73
MET   o.2     -2.54569249  6 11  7  74
MET   o.co2   -3.31377148  6 11  8  75
MET   p.3     -2.61732011  6 11  9  76
C.3   c.3      0.11249155  7  0  0   1
C.3   c.2      0.06935142  7  0  1   2
C.3   c.ar    -0.04794321  7  0  2   3
C.3   o.3      0.10008033  7  0  6   4
C.3   o.2      0.15341155  7  0  7   5
C.3   o.co2    0.20482632  7  0  8   6
C.3   n.ar    -0.06455047  7  0 10   7
C.3   f       -0.08091452  7  0 11   8
C.2   c.3      0.09429454  7  1  0   9
C.2   c.ar     0.11521768  7  1  2  10
